company_name,job_description,job_link,job_location,job_posted,job_salary,job_title,posted_website
University of Toronto - ,"this course will provide the student with both a solid theoretical foundation … novel environments by exploring the environment to gain knowledge about it, and …",https://www.wowjobs.ca/posting/WJWGDkJUGhzGMRn7lTfxmxNlfjZa675zkl9IvxueOl2UHozrRLoj9A/jobs-sessional+lecturer+introduction+to+reinforcement+learning+-+aps1080-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",12 days ago - ,N/A,"[Sessional Lecturer] Introduction to Reinforcement Learning - APS1080More[Sessional Lecturer] Introduction to Reinforcement Learning - APS1080 JobsToronto, ON Jobs",www.wowjobs.ca
University of Toronto - ,… must have experience in the use of artificial intelligence and machine learning … The applicant must have experience in teaching mathematics or coding at the …,https://www.wowjobs.ca/posting/IJjfa5E6JHB-x-Pmx1dwIqFXXLgKGpgvKdvGv7NXEXr5K-cXLVurhA/jobs-sessional+lecturer+introduction+to+machine+learning+-+ece1513h-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"[Sessional Lecturer] Introduction to Machine Learning - ECE1513HMore[Sessional Lecturer] Introduction to Machine Learning - ECE1513H JobsToronto, ON Jobs",www.wowjobs.ca
RepRisk - ,Cutting edge systems and technology at the interface of machine learning and … As a RepRisk Analyst you will analyze and enter risk incidents from …,https://www.wowjobs.ca/posting/w7J4K4btkfikHLyny3usP-P2153LwHWG9u6nLvLQZ4BTbDTEN7Ghlg/jobs-junior+esg+research+analyst+-+finnish+hindi+and+spanish-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",3 days ago - ,N/A,"Junior ESG Research Analyst - Finnish, Hindi and SpanishMoreJunior ESG Research Analyst - Finnish, Hindi and Spanish JobsToronto, ON Jobs",www.wowjobs.ca
Hydro - ,"… learning how to work with different types of industrial machinery – such as … With more than 35,000 employees and 100 production sites in more …",https://www.wowjobs.ca/posting/7y_Bz0zWXaZ09cvyym3JsRLzAsDMpIIfv7DdcRCwB0VizjdLGvCiTA/jobs-saw+operator-jobs/BrowseResults.aspx?q=&s=r&l=Mississauga%2c+ON,"Mississauga, ON",7 days ago - ,N/A,"Saw OperatorMoreSaw Operator JobsMississauga, ON Jobs",www.wowjobs.ca
Pinterest - ,"On the Content Signals team, you’ll be responsible for building machine learning … Apply machine learning approaches to build rich signals that enable ranking and …",https://www.wowjobs.ca/posting/S3xoM0QKVy1QfribRFHuZy-QZuIoDIFqRLIwpoizlBm8IwS9r8EgKw/jobs-senior+machine+learning+engineer+content+signals-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"Senior Machine Learning Engineer, Content SignalsMoreSenior Machine Learning Engineer, Content Signals JobsToronto, ON Jobs",www.wowjobs.ca
Revera Inc. - ,"… capability of self, individuals and teams by engaging in feedback, coaching, learning … built on a more than 50-year history of helping seniors live …",https://www.wowjobs.ca/posting/V_ty1pOK0VmW2ZGnXIBop_rh-mcWCDcc3PXBeRIXo028Hm9tx7h75w/BrowseResults.aspx?q=Housekeeper&s=r&l=/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"HousekeeperMoreHousekeeper JobsToronto, ON Jobs",www.wowjobs.ca
SoundHound Inc. - ,"You have publications or research work in applying deep learning methods to … talk to phones, cars, smart speakers, mobile apps, coffee machines, and every …",https://www.wowjobs.ca/posting/q1_JtUsY0eN4toVgnLmEFnJyVojTz-hJnIEX4hZKh5OAlL-TS8s9WQ/jobs-senior+machine+learning+scientist+natural+language+processing-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",9 days ago - ,N/A,"Senior Machine Learning Scientist, Natural Language ProcessingMoreSenior Machine Learning Scientist, Natural Language Processing JobsToronto, ON Jobs",www.wowjobs.ca
Revolut - ,"… in a collaborative space where everyone’s learning from each other, and learning … We're looking for a Head of Risk within our team in Toronto …",https://www.wowjobs.ca/posting/WKOeCyxI-37-YXAZtU4CaDx0gYRhN8iECbgPeVTVkEnTCk6reEzRag/jobs-head+of+risk-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"Head of RiskMoreHead of Risk JobsToronto, ON Jobs",www.wowjobs.ca
RBC - ,"… scientists can analyze the data using statistical, machine learning, and analytics techniques … The role is to support the success of Next Best Offer strategy …",https://www.wowjobs.ca/posting/XH4tMMoCj9Y6dF49oq4KNsBbUnO97SWJodd4FCHsBQqhO2BiCAeYGw/jobs-director+machine+learning-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",10 days ago - ,N/A,"Director Machine LearningMoreDirector Machine Learning JobsToronto, ON Jobs",www.wowjobs.ca
Silfab Solar - ,Silfab Solar is a world class manufacturer of high efficiency crystalline solar … Silfab Solar is a growing company and looks to hire Production Operators …,https://www.wowjobs.ca/posting/tatV_f5r02LSxB1r80jN9xS_AHmJWHFHfqptLL9EzZxjIYduJqhL5A/BrowseResults.aspx?q=Machine+Operator&s=r&l=/BrowseResults.aspx?q=&s=r&l=Mississauga%2c+ON,"Mississauga, ON",N/A,N/A,"Machine OperatorMoreMachine Operator JobsMississauga, ON Jobs",www.wowjobs.ca
Vene-Rica Meats - ,"Power grinder, Slicing machine, Band saw, Sausage machine, Salami mixer and cooker … 16.00 Hourly, for 40.00 Hours per week, Medical Benefits, Dental …",https://www.wowjobs.ca/posting/ovoE8EOrzUbKELeLo4iG1jZgALKGZeSby9qocpaLjfLHQpQxZ_Q_dw/jobs-butcher+-+retail+or+wholesale-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",9 days ago - ,N/A,"Butcher - retail or wholesaleMoreButcher - retail or wholesale JobsToronto, ON Jobs",www.wowjobs.ca
thinkCOMPASS - ,Duties/Responsibilities: Identify valuable data sources and automate collection processes Undertake preprocessing of structured and unstructured data Analyze…,https://www.wowjobs.ca/posting/qGJrVYvrpfJtye1ppgeuJaXp4kaxG3GFyfr8jdsdxGFknm7hiZxJ7A/jobs-data+scientist-jobs/BrowseResults.aspx?q=&s=r&l=Vaughan%2c+ON,"Vaughan, ON",1 day ago - ,N/A,"Data ScientistMoreData Scientist JobsVaughan, ON Jobs",www.wowjobs.ca
Martin Sprocket & Gear Canada Inc. - ,"… manufacturing process by setting up the machines, ensuring proper maintenance, and operating … We are proud of our rich heritage dating back to our beginning …",https://www.wowjobs.ca/posting/YdWCCaLYhBTP3bFIxa_CN1HLH-_-2dWuHzkDWLkBtILyu0pvKO3O2g/jobs-machinist+1+can+-+general+machining-jobs/BrowseResults.aspx?q=&s=r&l=Mississauga%2c+ON,"Mississauga, ON",8 days ago - ,N/A,"Machinist 1 (CAN) - General MachiningMoreMachinist 1 (CAN) - General Machining JobsMississauga, ON Jobs",www.wowjobs.ca
ROBERTS SIGNS & AWNINGS - ,"The position requires a core competency in operating industrial sewing machines but … is looking for a full time, long term position that enjoys learning …",https://www.wowjobs.ca/posting/kVR3fDW9N6Vkqpe1aXnHMblLK3QeWjgYVi5aHSVUCrOhzLQmPI3K1g/jobs-industrial+sewing+machine+operator+awning+technician+apprentice-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",2 days ago - ,N/A,"Industrial Sewing Machine Operator / Awning Technician ApprenticeMoreIndustrial Sewing Machine Operator / Awning Technician Apprentice JobsToronto, ON Jobs",www.wowjobs.ca
Reynolds Consumer Products - ,… equipment and have an appreciation of how to work in a machine … At Reynolds Consumer Products we are passionate about achieving results and have …,https://www.wowjobs.ca/posting/mzNh-Amg1X4KGYsjw2f-_Xx8egB0BmZiAR0csw8tCaoeXpAXR4KUBg/jobs-machine+operator-household+foil+food+service+department-jobs/BrowseResults.aspx?q=&s=r&l=Mississauga%2c+ON,"Mississauga, ON",N/A,N/A,"Machine Operator-Household Foil/Food Service DepartmentMoreMachine Operator-Household Foil/Food Service Department JobsMississauga, ON Jobs",www.wowjobs.ca
National Research Council Canada - ,Applicants must demonstrate within the content of their application that they meet … Help bring research to life and drive your career forward with the …,https://www.wowjobs.ca/posting/mxlIP5-kwV3dmgRRVRsH4jlp36Dktc9aSmvrFHO2DSU5zrdZeB2jUw/jobs-industrial+technology+advisor-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"Industrial Technology AdvisorMoreIndustrial Technology Advisor JobsToronto, ON Jobs",www.wowjobs.ca
"Martin Sprocket and Gear, Inc. - ","… manufacturing process by setting up the machines, ensuring proper maintenance, and operating … We are proud of our rich heritage dating back to our beginning …",https://www.wowjobs.ca/posting/paVzOzzoq5t6jc8u0gh3bqkyKSQt2NRvRPQxeHVjcVwGC5Q4dVDEag/jobs-machinist+1+can+-+general+machining-jobs/BrowseResults.aspx?q=&s=r&l=Mississauga%2c+ON,"Mississauga, ON",8 days ago - ,N/A,"Machinist 1 (CAN) - General MachiningMoreMachinist 1 (CAN) - General Machining JobsMississauga, ON Jobs",www.wowjobs.ca
atacama - ,"… stewardship, a robust data processing engine, machine learning, multiple deployment options, and … With 10+ years of solid experience, we are proud to be a …",https://www.wowjobs.ca/posting/RiyuEdJKmD6qcnQs29RBxmrf8xBvXYohXq0Dwhv0JuiQGApSwR2Jig/BrowseResults.aspx?q=Sales+Executive&s=r&l=/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"Sales ExecutiveMoreSales Executive JobsToronto, ON Jobs",www.wowjobs.ca
University Health Network - ,"… communities through excellence in care, discovery and learning”, the University Health Network … is looking for an experienced professional to fill the key role of …",https://www.wowjobs.ca/posting/iY5IOmrnOzXENYWOB0MswY22kdGPDV1lxw1Hx9L8QzvKtuZKQm6yXg/BrowseResults.aspx?q=Pharmacy+Technician&s=r&l=/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",2 days ago - ,N/A,"Pharmacy TechnicianMorePharmacy Technician JobsToronto, ON Jobs",www.wowjobs.ca
Amcor - ,"… injection stretch blow moulding machines, extrustion blow moudling machines and deco machines … Rigid Plastics’ primary focus, which is to ensure the Safety of all …",https://www.wowjobs.ca/posting/lN0mPYGlj2gsG3lIgnHOC22S84aif6K9tWIejut2d_UY_T-Klk8rAQ/jobs-packer+1-jobs/BrowseResults.aspx?q=&s=r&l=Mississauga%2c+ON,"Mississauga, ON",N/A,N/A,"Packer 1MorePacker 1 JobsMississauga, ON Jobs",www.wowjobs.ca
The Little Campus - ,"… educators, TLC’s mission is to provide a safe and developmentally appropriate learning … At The Little Campus, we know that little ones need a lot …",https://www.wowjobs.ca/posting/PK6n-fgpxYadOLkePjGC4whVZ6CtONWKSIkb8h-iXxFyLcESGJ5siw/BrowseResults.aspx?q=Custodian&s=r&l=/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"CustodianMoreCustodian JobsToronto, ON Jobs",www.wowjobs.ca
SoundHound Inc. - ,"Apply deep learning techniques and neural networks to improve acoustic models for … talk to phones, cars, smart speakers, mobile apps, coffee machines, and every …",https://www.wowjobs.ca/posting/JVvUaDxb1omVwv9Y3IJWheeGqahbz5DZFdGM6EQfq_lsiXINY99w4A/jobs-machine+learning+intern+speech+recognition+m+s+ph+d+winter+2020-2021-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",9 days ago - ,N/A,"Machine Learning Intern, Speech Recognition, M.S. / Ph.D., Winter 2020-2021MoreMachine Learning Intern, Speech Recognition, M.S. / Ph.D., Winter 2020-2021 JobsToronto, ON Jobs",www.wowjobs.ca
Cisco Systems - ,"Everything is converging on the Internet, making networked connections more meaningful than … Here, that means we take creative ideas from the drawing board to …",https://www.wowjobs.ca/posting/ms-Nd5cRq6Ldi28xe3xbZPefNTNmHMuC-aDr0opfLPgUcKJIlMHYNg/jobs-collaboration+sales+specialist-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"Collaboration Sales SpecialistMoreCollaboration Sales Specialist JobsToronto, ON Jobs",www.wowjobs.ca
University Health Network - ,"… candidate will have the freedom to pursue independent machine learning-based research … The University Health Network, where “above all else the needs of patients …",https://www.wowjobs.ca/posting/Sn7y5HeaRGAYmTgcAJT3sxtuNugZe30WxBvZZ10stMbB1zV4pYC8IA/jobs-scientist+computational+biology-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",10 days ago - ,N/A,"Scientist, Computational BiologyMoreScientist, Computational Biology JobsToronto, ON Jobs",www.wowjobs.ca
"AMZN CAN Fulfillment Svcs, ULC - ","… to optimize the performance of machine-learning models, improve team’s machine learning … and work on many different technologies such as deep learning, AWS, Auto …",https://www.wowjobs.ca/posting/6DcQlxpAR_sBtI7VLTCqbaE9trSVa-2CTznNRDQ-dAcSTVgEyL6Q6Q/jobs-machine+learning+engineer+ii+-+ads-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"Machine Learning Engineer II - AdsMoreMachine Learning Engineer II - Ads JobsToronto, ON Jobs",www.wowjobs.ca
Bell Canada - ,"… successful candidate will help us define, build, and maintain a machine-learning … data engineers across the organization to enable Bell to use machine learning …",https://www.wowjobs.ca/posting/4PCoxKFcEy_KHK0IzkNZ4UiYg9oWWt9pAhwbakS6bKrHiTubIL70wQ/jobs-developer+machine+learning+engineer-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",9 days ago - ,N/A,"Developer, Machine Learning EngineerMoreDeveloper, Machine Learning Engineer JobsToronto, ON Jobs",www.wowjobs.ca
Hopper - ,"… power that comes from combining massive amounts of data and machine learning … At Hopper, we’re on a mission to make booking travel faster, easier …",https://www.wowjobs.ca/posting/5QGpogCRBR8Scu8OSswhdWa8pPaRATgMLOMVQWjFzk-dUPMQ1ZKpQg/jobs-fp%26a+senior+analyst+analyst-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",4 days ago - ,N/A,"FP&A Senior Analyst/AnalystMoreFP&A Senior Analyst/Analyst JobsToronto, ON Jobs",www.wowjobs.ca
Revera Inc. - ,"… capability of self, individuals and teams by engaging in feedback, coaching, learning … built on a more than 50-year history of helping seniors live …",https://www.wowjobs.ca/posting/EmSAtwjFA44rnOV6u2hfHOYaypBFbxVpF3rrR2uA9u4uGUl9iQhp7w/jobs-housekeepeer-jobs/BrowseResults.aspx?q=&s=r&l=Rexdale%2c+ON,"Rexdale, ON",N/A,N/A,"HousekeepeerMoreHousekeepeer JobsRexdale, ON Jobs",www.wowjobs.ca
Technical Standards & Safety Authority (TSSA) - ,"… delivery tools, manual software installs, configuring end-user profiles and reimages machines … With headquarters in west Toronto, the TSSA is a self-funded, not …",https://www.wowjobs.ca/posting/kXzpZwL_6z1DOqXHEV7r5UAqxR2JPrhBX9g3KeMFwbi8aG6N07giWw/jobs-it+co-op+students-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",21 hours ago - ,N/A,"IT Co-op StudentsMoreIT Co-op Students JobsToronto, ON Jobs",www.wowjobs.ca
