company_name,job_description,job_link,job_location,job_posted,job_salary,job_title,posted_website
Curtiss-Wright - ,"Candidates must be available for training on day shift (7:30am-4 … experience and must be able to assembly complex, high precision machined components …",https://www.wowjobs.ca/posting/LrEW0QcOvbP4y-dp9EKCm4kVMqnryM_CmQaeFUH9q5uEb_thYffM1w/jobs-assembler+afternoon+shift-jobs/BrowseResults.aspx?q=&s=r&l=Mississauga%2c+ON,"Mississauga, ON",9 days ago - ,N/A,"Assembler (Afternoon Shift)MoreAssembler (Afternoon Shift) JobsMississauga, ON Jobs",www.wowjobs.ca
Autodesk - ,"… applications in artificial intelligence, deep learning, machine learning, computer vision, reinforcement learning …",https://www.wowjobs.ca/posting/ay71jH6ahYmDE2-rQ5RPlgvt_eJoSFGRek9Pwbjun5CuaqEOVawybA/jobs-senior+machine+learning+research+engineer-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"Senior Machine Learning Research EngineerMoreSenior Machine Learning Research Engineer JobsToronto, ON Jobs",www.wowjobs.ca
RBC - ,… will be responsible for experimenting and implementing new AI/machine learning solutions … in an effort to transform our application and technology book of record …,https://www.wowjobs.ca/posting/x1YZsJyXx6POQMeEvl0Pw5oSPF0akpkK6WS-vOhMYNhla33cv1eCwg/jobs-data+analyst+-+ai-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",23 hours ago - ,N/A,"Data Analyst - AIMoreData Analyst - AI JobsToronto, ON Jobs",www.wowjobs.ca
Pinterest - ,"On the Content Signals team, you’ll be responsible for building machine learning … Apply machine learning approaches to build rich signals that enable ranking and …",https://www.wowjobs.ca/posting/neTyNdEVVbfyQJdJLFVkBWDTjnRe1BNyHvZXpxBEIkRjyRxLmvZGMA/jobs-machine+learning+engineer+content+signals-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"Machine Learning Engineer, Content SignalsMoreMachine Learning Engineer, Content Signals JobsToronto, ON Jobs",www.wowjobs.ca
The Toronto Region Board of Trade - ,"… depth knowledge of the latest data analytics and visualization programs, including machine … Institute (EBI), the data and research arm of the Toronto Region Board …",https://www.wowjobs.ca/posting/axqJ_JYP4MLSVgcrgDLfAaDcT5HoUgz6qQWwKOg8Cou_fcnowvOI-Q/jobs-director+data+analytics+ebi-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",7 days ago - ,N/A,"Director, Data Analytics, EBIMoreDirector, Data Analytics, EBI JobsToronto, ON Jobs",www.wowjobs.ca
Faire - ,"At Faire, we're using the power of tech, data, and machine learning … Faire is an online wholesale marketplace built on the belief that the …",https://www.wowjobs.ca/posting/4TmvxNdquiJyKnbSsu03SanOZcOMDVo-Wqq2e6l-fH6UYFP84K4k5A/jobs-design+%26+product+recruiter-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",3 days ago - ,N/A,"Design & Product RecruiterMoreDesign & Product Recruiter JobsToronto, ON Jobs",www.wowjobs.ca
Samsung Electronics - ,"At Samsung Electronics Canada, we take pride in the creativity and diversity … We want the best of the best at Samsung to join our …",https://www.wowjobs.ca/posting/r0Pge5r5Z86EQojVnUlo0oOoZxU-MYWwB7S9qlNIO37NuLKuLjLxig/jobs-manager+national+accounts-jobs/BrowseResults.aspx?q=&s=r&l=Greater+Toronto+Area%2c+ON,"Greater Toronto Area, ON",12 days ago - ,N/A,"Manager, National AccountsMoreManager, National Accounts JobsGreater Toronto Area, ON Jobs",www.wowjobs.ca
BMO Financial Group - ,"By learning from each other’s differences, we gain strength through our people … Ideal candidate will have in depth knowledge of Automated Teller Machine online …",https://www.wowjobs.ca/posting/HEw346Oy_FFhBgVOCwrvcvFf7wmaDchiqBO-0GdcX-EA-wukC-rgHg/jobs-technical+specialist+-+mainframe-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",8 days ago - ,N/A,"Technical Specialist - MainframeMoreTechnical Specialist - Mainframe JobsToronto, ON Jobs",www.wowjobs.ca
Hopper - ,"… power that comes from combining massive amounts of data and machine learning … At Hopper, we’re on a mission to make booking travel faster, easier …",https://www.wowjobs.ca/posting/8RmFBaWV0ZiS2EhknZKGCFOCkR98h8za_hWFy_1s7rVs5KgX_IrYZA/jobs-head+of+fp%26a-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",8 days ago - ,N/A,"Head of FP&AMoreHead of FP&A JobsToronto, ON Jobs",www.wowjobs.ca
SoundHound Inc. - ,"Also, don't forget to mention if you have experience with Deep learning … talk to phones, cars, smart speakers, mobile apps, coffee machines, and every …",https://www.wowjobs.ca/posting/rSxT2RokcL41LWyMt5mFXpouAWp3FYvtKdHZE_8ZopvN1qcTwm3EsA/jobs-senior+software+engineer+machine+learning+algorithms+cplusplus-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"Senior Software Engineer, Machine Learning Algorithms (C++)MoreSenior Software Engineer, Machine Learning Algorithms (C++) JobsToronto, ON Jobs",www.wowjobs.ca
George Brown College - ,"As employees, we are committed to creating an enriching learning community for … the tool crib needs and prepares annual inventory report for tools, machines …",https://www.wowjobs.ca/posting/3lgqoPRNCz-vICCC8GonRhfyGOfZZ-v2XPrupWQR33VLJUYWjhRzDA/BrowseResults.aspx?q=Engineering+Technologist&s=r&l=/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",8 days ago - ,N/A,"Engineering TechnologistMoreEngineering Technologist JobsToronto, ON Jobs",www.wowjobs.ca
University of Toronto - ,"this course will provide the student with both a solid theoretical foundation … novel environments by exploring the environment to gain knowledge about it, and …",https://www.wowjobs.ca/posting/WJWGDkJUGhzGMRn7lTfxmxNlfjZa675zkl9IvxueOl2UHozrRLoj9A/jobs-sessional+lecturer+introduction+to+reinforcement+learning+-+aps1080-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",12 days ago - ,N/A,"[Sessional Lecturer] Introduction to Reinforcement Learning - APS1080More[Sessional Lecturer] Introduction to Reinforcement Learning - APS1080 JobsToronto, ON Jobs",www.wowjobs.ca
University of Toronto - ,… must have experience in the use of artificial intelligence and machine learning … The applicant must have experience in teaching mathematics or coding at the …,https://www.wowjobs.ca/posting/IJjfa5E6JHB-x-Pmx1dwIqFXXLgKGpgvKdvGv7NXEXr5K-cXLVurhA/jobs-sessional+lecturer+introduction+to+machine+learning+-+ece1513h-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"[Sessional Lecturer] Introduction to Machine Learning - ECE1513HMore[Sessional Lecturer] Introduction to Machine Learning - ECE1513H JobsToronto, ON Jobs",www.wowjobs.ca
RepRisk - ,Cutting edge systems and technology at the interface of machine learning and … As a RepRisk Analyst you will analyze and enter risk incidents from …,https://www.wowjobs.ca/posting/w7J4K4btkfikHLyny3usP-P2153LwHWG9u6nLvLQZ4BTbDTEN7Ghlg/jobs-junior+esg+research+analyst+-+finnish+hindi+and+spanish-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",3 days ago - ,N/A,"Junior ESG Research Analyst - Finnish, Hindi and SpanishMoreJunior ESG Research Analyst - Finnish, Hindi and Spanish JobsToronto, ON Jobs",www.wowjobs.ca
Hydro - ,"… learning how to work with different types of industrial machinery – such as … With more than 35,000 employees and 100 production sites in more …",https://www.wowjobs.ca/posting/7y_Bz0zWXaZ09cvyym3JsRLzAsDMpIIfv7DdcRCwB0VizjdLGvCiTA/jobs-saw+operator-jobs/BrowseResults.aspx?q=&s=r&l=Mississauga%2c+ON,"Mississauga, ON",7 days ago - ,N/A,"Saw OperatorMoreSaw Operator JobsMississauga, ON Jobs",www.wowjobs.ca
Pinterest - ,"On the Content Signals team, you’ll be responsible for building machine learning … Apply machine learning approaches to build rich signals that enable ranking and …",https://www.wowjobs.ca/posting/S3xoM0QKVy1QfribRFHuZy-QZuIoDIFqRLIwpoizlBm8IwS9r8EgKw/jobs-senior+machine+learning+engineer+content+signals-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"Senior Machine Learning Engineer, Content SignalsMoreSenior Machine Learning Engineer, Content Signals JobsToronto, ON Jobs",www.wowjobs.ca
Revera Inc. - ,"… capability of self, individuals and teams by engaging in feedback, coaching, learning … built on a more than 50-year history of helping seniors live …",https://www.wowjobs.ca/posting/V_ty1pOK0VmW2ZGnXIBop_rh-mcWCDcc3PXBeRIXo028Hm9tx7h75w/BrowseResults.aspx?q=Housekeeper&s=r&l=/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"HousekeeperMoreHousekeeper JobsToronto, ON Jobs",www.wowjobs.ca
SoundHound Inc. - ,"You have publications or research work in applying deep learning methods to … talk to phones, cars, smart speakers, mobile apps, coffee machines, and every …",https://www.wowjobs.ca/posting/q1_JtUsY0eN4toVgnLmEFnJyVojTz-hJnIEX4hZKh5OAlL-TS8s9WQ/jobs-senior+machine+learning+scientist+natural+language+processing-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",9 days ago - ,N/A,"Senior Machine Learning Scientist, Natural Language ProcessingMoreSenior Machine Learning Scientist, Natural Language Processing JobsToronto, ON Jobs",www.wowjobs.ca
Revolut - ,"… in a collaborative space where everyone’s learning from each other, and learning … We're looking for a Head of Risk within our team in Toronto …",https://www.wowjobs.ca/posting/WKOeCyxI-37-YXAZtU4CaDx0gYRhN8iECbgPeVTVkEnTCk6reEzRag/jobs-head+of+risk-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"Head of RiskMoreHead of Risk JobsToronto, ON Jobs",www.wowjobs.ca
RBC - ,"… scientists can analyze the data using statistical, machine learning, and analytics techniques … The role is to support the success of Next Best Offer strategy …",https://www.wowjobs.ca/posting/XH4tMMoCj9Y6dF49oq4KNsBbUnO97SWJodd4FCHsBQqhO2BiCAeYGw/jobs-director+machine+learning-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",10 days ago - ,N/A,"Director Machine LearningMoreDirector Machine Learning JobsToronto, ON Jobs",www.wowjobs.ca
Silfab Solar - ,Silfab Solar is a world class manufacturer of high efficiency crystalline solar … Silfab Solar is a growing company and looks to hire Production Operators …,https://www.wowjobs.ca/posting/tatV_f5r02LSxB1r80jN9xS_AHmJWHFHfqptLL9EzZxjIYduJqhL5A/BrowseResults.aspx?q=Machine+Operator&s=r&l=/BrowseResults.aspx?q=&s=r&l=Mississauga%2c+ON,"Mississauga, ON",N/A,N/A,"Machine OperatorMoreMachine Operator JobsMississauga, ON Jobs",www.wowjobs.ca
Vene-Rica Meats - ,"Power grinder, Slicing machine, Band saw, Sausage machine, Salami mixer and cooker … 16.00 Hourly, for 40.00 Hours per week, Medical Benefits, Dental …",https://www.wowjobs.ca/posting/ovoE8EOrzUbKELeLo4iG1jZgALKGZeSby9qocpaLjfLHQpQxZ_Q_dw/jobs-butcher+-+retail+or+wholesale-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",9 days ago - ,N/A,"Butcher - retail or wholesaleMoreButcher - retail or wholesale JobsToronto, ON Jobs",www.wowjobs.ca
thinkCOMPASS - ,Duties/Responsibilities: Identify valuable data sources and automate collection processes Undertake preprocessing of structured and unstructured data Analyze…,https://www.wowjobs.ca/posting/qGJrVYvrpfJtye1ppgeuJaXp4kaxG3GFyfr8jdsdxGFknm7hiZxJ7A/jobs-data+scientist-jobs/BrowseResults.aspx?q=&s=r&l=Vaughan%2c+ON,"Vaughan, ON",1 day ago - ,N/A,"Data ScientistMoreData Scientist JobsVaughan, ON Jobs",www.wowjobs.ca
Martin Sprocket & Gear Canada Inc. - ,"… manufacturing process by setting up the machines, ensuring proper maintenance, and operating … We are proud of our rich heritage dating back to our beginning …",https://www.wowjobs.ca/posting/YdWCCaLYhBTP3bFIxa_CN1HLH-_-2dWuHzkDWLkBtILyu0pvKO3O2g/jobs-machinist+1+can+-+general+machining-jobs/BrowseResults.aspx?q=&s=r&l=Mississauga%2c+ON,"Mississauga, ON",8 days ago - ,N/A,"Machinist 1 (CAN) - General MachiningMoreMachinist 1 (CAN) - General Machining JobsMississauga, ON Jobs",www.wowjobs.ca
ROBERTS SIGNS & AWNINGS - ,"The position requires a core competency in operating industrial sewing machines but … is looking for a full time, long term position that enjoys learning …",https://www.wowjobs.ca/posting/kVR3fDW9N6Vkqpe1aXnHMblLK3QeWjgYVi5aHSVUCrOhzLQmPI3K1g/jobs-industrial+sewing+machine+operator+awning+technician+apprentice-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",2 days ago - ,N/A,"Industrial Sewing Machine Operator / Awning Technician ApprenticeMoreIndustrial Sewing Machine Operator / Awning Technician Apprentice JobsToronto, ON Jobs",www.wowjobs.ca
Reynolds Consumer Products - ,… equipment and have an appreciation of how to work in a machine … At Reynolds Consumer Products we are passionate about achieving results and have …,https://www.wowjobs.ca/posting/mzNh-Amg1X4KGYsjw2f-_Xx8egB0BmZiAR0csw8tCaoeXpAXR4KUBg/jobs-machine+operator-household+foil+food+service+department-jobs/BrowseResults.aspx?q=&s=r&l=Mississauga%2c+ON,"Mississauga, ON",N/A,N/A,"Machine Operator-Household Foil/Food Service DepartmentMoreMachine Operator-Household Foil/Food Service Department JobsMississauga, ON Jobs",www.wowjobs.ca
National Research Council Canada - ,Applicants must demonstrate within the content of their application that they meet … Help bring research to life and drive your career forward with the …,https://www.wowjobs.ca/posting/mxlIP5-kwV3dmgRRVRsH4jlp36Dktc9aSmvrFHO2DSU5zrdZeB2jUw/jobs-industrial+technology+advisor-jobs/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"Industrial Technology AdvisorMoreIndustrial Technology Advisor JobsToronto, ON Jobs",www.wowjobs.ca
"Martin Sprocket and Gear, Inc. - ","… manufacturing process by setting up the machines, ensuring proper maintenance, and operating … We are proud of our rich heritage dating back to our beginning …",https://www.wowjobs.ca/posting/paVzOzzoq5t6jc8u0gh3bqkyKSQt2NRvRPQxeHVjcVwGC5Q4dVDEag/jobs-machinist+1+can+-+general+machining-jobs/BrowseResults.aspx?q=&s=r&l=Mississauga%2c+ON,"Mississauga, ON",8 days ago - ,N/A,"Machinist 1 (CAN) - General MachiningMoreMachinist 1 (CAN) - General Machining JobsMississauga, ON Jobs",www.wowjobs.ca
atacama - ,"… stewardship, a robust data processing engine, machine learning, multiple deployment options, and … With 10+ years of solid experience, we are proud to be a …",https://www.wowjobs.ca/posting/RiyuEdJKmD6qcnQs29RBxmrf8xBvXYohXq0Dwhv0JuiQGApSwR2Jig/BrowseResults.aspx?q=Sales+Executive&s=r&l=/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",N/A,N/A,"Sales ExecutiveMoreSales Executive JobsToronto, ON Jobs",www.wowjobs.ca
University Health Network - ,"… communities through excellence in care, discovery and learning”, the University Health Network … is looking for an experienced professional to fill the key role of …",https://www.wowjobs.ca/posting/iY5IOmrnOzXENYWOB0MswY22kdGPDV1lxw1Hx9L8QzvKtuZKQm6yXg/BrowseResults.aspx?q=Pharmacy+Technician&s=r&l=/BrowseResults.aspx?q=&s=r&l=Toronto%2c+ON,"Toronto, ON",2 days ago - ,N/A,"Pharmacy TechnicianMorePharmacy Technician JobsToronto, ON Jobs",www.wowjobs.ca
Amcor - ,"… injection stretch blow moulding machines, extrustion blow moudling machines and deco machines … Rigid Plastics’ primary focus, which is to ensure the Safety of all …",https://www.wowjobs.ca/posting/lN0mPYGlj2gsG3lIgnHOC22S84aif6K9tWIejut2d_UY_T-Klk8rAQ/jobs-packer+1-jobs/BrowseResults.aspx?q=&s=r&l=Mississauga%2c+ON,"Mississauga, ON",N/A,N/A,"Packer 1MorePacker 1 JobsMississauga, ON Jobs",www.wowjobs.ca
